date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:33	5143/5143	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22590a28b8-239c%22	https://gurayyarar.github.io/robots.txt		(from )
16:50:34	59660/59660	---M-Z	200	added ('OK')	text/html	etag:W/%225bd87463-e90c%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/index.html	(from )
16:50:34	1871/1871	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225bd87463-74f%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/favicon.ico	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/favicon.ico	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:35	4563/4563	---M-Z	200	added ('OK')	text/css	etag:W/%225bd87463-11d3%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/plugins/node-waves/waves.css	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/plugins/node-waves/waves.css	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:35	72259/72259	---M-Z	200	added ('OK')	text/css	etag:W/%225bd87463-11a43%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/plugins/animate-css/animate.css	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/plugins/animate-css/animate.css	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:35	146082/146082	---M-Z	200	added ('OK')	text/css	etag:W/%225bd87463-23aa2%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/plugins/bootstrap/css/bootstrap.css	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/plugins/bootstrap/css/bootstrap.css	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:35	433/433	---M-Z	200	added ('OK')	text/css	etag:W/%225bd87463-1b1%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/plugins/morrisjs/morris.css	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/plugins/morrisjs/morris.css	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:36	211923/211923	---M-Z	200	added ('OK')	text/css	etag:W/%225bd87463-33bd3%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/css/style.css	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/css/style.css	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:36	25551/25551	---M-Z	200	added ('OK')	text/css	etag:W/%225bd87463-63cf%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/css/themes/all-themes.css	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/css/themes/all-themes.css	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:36	59660/59660	---M-Z	200	added ('OK')	text/html	etag:W/%225bd87463-e90c%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/index.html	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/index-2.html	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:36	1576/1576	---M--	200	added ('OK')	image/png	etag:%225bd87463-628%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/images/user.png	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/images/user.png	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:37	64282/64282	---M-Z	200	added ('OK')	text/html	etag:W/%225bd87463-fb1a%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/pages/typography.html	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/pages/typography.html	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:37	67299/67299	---M-Z	200	added ('OK')	text/html	etag:W/%225bd87463-106e3%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/pages/helper-classes.html	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/pages/helper-classes.html	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:37	53053/53053	---M-Z	200	added ('OK')	text/html	etag:W/%225bd87463-cf3d%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/pages/widgets/cards/basic.html	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/pages/widgets/cards/basic.html	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:38	57974/57974	---M-Z	200	added ('OK')	text/html	etag:W/%225bd87463-e276%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/pages/widgets/cards/colored.html	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/pages/widgets/cards/colored.html	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:38	46235/46235	---M-Z	200	added ('OK')	text/html	etag:W/%225bd87463-b49b%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/pages/widgets/cards/no-header.html	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/pages/widgets/cards/no-header.html	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
16:50:38	54123/54123	---M-Z	200	added ('OK')	text/html	etag:W/%225bd87463-d36b%22	https://gurayyarar.github.io/AdminBSBMaterialDesign/pages/widgets/infobox/infobox-1.html	C:/Users/USER/Desktop/admin/admin1/gurayyarar.github.io/AdminBSBMaterialDesign/pages/widgets/infobox/infobox-1.html	(from https://gurayyarar.github.io/AdminBSBMaterialDesign/)
